/BIC/ZVCH_OKPO,TXTLG
1068974,АРХАНГЕЛЬСКОЕ ОТДЕЛЕНИЕ - ФИЛИАЛА ОАО 'РЖД'
1069034,КОТЛАССКАЯ ДИСТАНЦИЯ ПУТИ
1069086,ОСП ВАГОННОЕ РЕМОНТНОЕ ДЕПО СОЛЬВЫЧЕГОДСК
1069287,СТП Микуньская дистанция пути
1069293,СТП Эксплуатационное вагонное депо Сосногорск
1069324,СТП Воркутинская дистанция электроснабжения
1069376,СТП Елецкая дистанция пути
1069399,СТП Воркутинская дистанция пути
1069407,СТП Сивомаскинская дистанция пути
1069420,СТП Интинская дистанция пути
1069436,Воркутинское эксплуатационное вагонное депо
1072645,"Вагонное депо ""Готня"""
1072680,Белгородская дистанция пути
1072705,Белгородская дистанция электроснабжения
1073567,СТП Печорская дистанция электроснабжения
1073685,Валуйская дистанция пути
1076577,Ростовская дистанция электроснабжения СКДЭ - СП Тр
1076710,"ПМС 141 СКДРП ЦДРП фл ""РЖД"""
1076809,"Эксплуатационное вагонное депо Батайск СКДИ ОАО ""Р"
1076844,"СКЖД - фл ОАО ""РЖД"""
1076867,"Шахтинская дистанция пути СКДИ - СП ЦДИ - ФЛ ОАО """
1076927,Кавказская дистанция электроснабжения филиала ОАО
1077016,"Тихорецкая дистанция пути филиала ОАО ""РЖД"""
1077022,"Кавказская дистанция пути филиала ОАО ""РЖД"""
1077275,ФЛ ПРОХЛАДНЕНСКАЯ ДИСТАНЦИЯ ПУТИ
1077536,Гудермесская дистанция пути- СК ДИ-СП ЦДИ филиала
1077594,Махачкалинская дистанция электроснабжения
1077625,Эксплутационное вагонное депо Махачкала
1077648,Махачкалинская дистанция пути
1077720,Эксплуатацоннное вагонное депо Краснодар Сев-Кав д
1077759,"Новороссийская дистанция пути ф-ла ОАО ""РЖД"""
1077803,"Тимашевская дистанция пути ф-ла ОАО ""РЖД"""
1077826,"Старотитаровская дистанция пути филиала ОАО ""РЖД"""
1077861,Краснодарская дистанция электроснабжения филиал ОА
1077915,"Краснодарская дистанция пути ф-ла ОАО ""РЖД"""
1077967,"Сальская дистанция пути СКДИ - СП ЦДИ - ФЛ ОАО ""РЖ"
1077988,Куберлеевская дистанция пути СКДИ - СП ЦДИ - ФЛ ОА
1078079,"Сочинская дистанция инфраструктуры ф-ла ОАО ""РЖД"""
1078085,Туапсинская дистанция электроснабжения филиала ОАО
1078100,"Белореченская дистанция пути ф-ла ОАО ""РЖД"""
1078122,"Туапсинская дистанция пути ф-ла ОАО ""РЖД"""
1079469,ЮВЖД-ФЛ ОАО 'РЖД'
1079481,Эксплуатационное вагонное депо Лиски ЮВДИ
1079564,Миллеровская дистанция пути СКДИ - СП ЦДИ - ФЛ ОАО
1079587,Белокалитвинская дистанция пути СКДИ - СП ЦДИ - ФЛ
1079624,"ПМС-34 С-КАВ ДРП ЦДРП - ФИЛИАЛА ОАО ""РЖД"""
1079676,Лиховская дистанция электроснабжения СКДЭ - СП Тра
1079682,"Эксплуатационное вагонное депо Лихая СКДИ ОАО ""РЖД"
1079848,Лискинская дистанция пути ЮВДИ
1079854,Поворинская дистанция пути ЮВДИ
1079860,Россошанская дистанция пути ЮВДИ
1079877,Таловская дистанция пути ЮВДИ
1079956,Россошанская дистанция электроснабжения
1080018,Лискинская дистанция электроснабжения ЮВДИ
1080024,Старооскольская дистанция пути имени Морозова Б.А.
1080076,Воронежская дистанция пути ЮВДИ
1080254,Грязинская дистанция пути
1080308,Эксплуатационное вагонное депо Казинка
1080337,ПЧ Липецк
1080366,Елецкая дистанция пути
1080372,Елецкая дистанция электроснабжения
1080415,Лев Толстовская дистанция пути
1080426,Раненбургская дистанция пути
1080455,Кочетовская дистанция пути
1080509,эксплуатационное вагонное депо Кочетовка
1080604,ЭЧ Мичуринск
1080610,Тамбовская дистанция пути
1080716,"ПРИВ ж.д. ОАО ""РЖД"""
