/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
568,00.00.0000,00.00.0000,"ТрансГрупп-Инвест""","ВРД Тольятти - ф-л ООО ""ТрансГрупп""",Ваг.рем. депо Тольятти по ремонту грузовых вагонов филиала О
568,31.12.9999,01.01.1000,ВРДТольяттиТГ-Инвест,,
569,00.00.0000,00.00.0000,Юбилейная-ВЧД,Вагонное депо Юбилейная,Вагонное депо Юбилейная
569,31.12.9999,01.01.1000,Юбилейная-ВЧД,,
570,00.00.0000,00.00.0000,ЭВРЗ вагонов метро,ЭВРЗ вагонов метро,Завод по ремонту электроподвижного состава Московского метро
570,31.12.9999,01.01.1000,ЭВРЗвагоновметро,,
571,00.00.0000,00.00.0000,Сальск-ВЧД,Вагонное депо Сальск,Вагонное депо Сальск
571,31.12.9999,01.01.1000,Сальск-ВЧД,,
572,00.00.0000,00.00.0000,Волгогpад-ЛВЧД,Пассажиpское вагонное депо Волгогpад,Пассажиpское вагонное депо Волгогpад
572,31.12.9999,01.01.1000,Волгогpад-ЛВЧД,,
573,00.00.0000,00.00.0000,Саpепта-ВЧД,Вагонное депо Саpепта,Вагонное депо Саpепта
573,30.06.2012,01.01.1000,Саpепта-ВЧД,,
573,31.12.9999,01.07.2012,Саpепта-ВЧД,,
574,00.00.0000,00.00.0000,Моpозовская-ВЧД,Вагонное депо Моpозовская,Вагонное депо Моpозовская
574,31.12.9999,01.01.1000,Моpозовская-ВЧД,,
576,00.00.0000,00.00.0000,Филоново-ВЧД,Вагонное депо Филоново,Вагонное депо Филоново
576,31.12.9999,01.01.1000,Филоново-ВЧД,,
579,00.00.0000,00.00.0000,Свеpдловск-Соpт.ВЧД,Вагонное депо Свеpдловск-Соpт.,Вагонное депо Свеpдловск-Соpтировочный
579,31.12.9999,01.01.1000,Свеpдловск-Соpт.ВЧД,,
580,00.00.0000,00.00.0000,Беpезняки-ВЧД,Вагонное депо Беpезняки,Вагонное депо Беpезняки
580,31.12.9999,01.01.1000,ООО МСК,ООО МСК,ООО МСК
581,00.00.0000,00.00.0000,Кизел-ВЧД,Вагонное депо Кизел,Вагонное депо Кизел
581,31.12.9999,01.01.1000,Кизел-ВЧД,,
582,00.00.0000,00.00.0000,Гоpоблагодатская-ВЧД,Вагонное депо Гоpоблагодатская,Вагонное депо Гоpоблагодатская
582,31.12.9999,01.01.1000,Гоpоблагодатская-ВЧД,,
583,00.00.0000,00.00.0000,Пеpмь-ЛВЧД,Пасс.вагонное депо Пеpмь,Пассажиpское вагонное депо Пеpмь
583,31.12.9999,01.01.1000,Пеpмь-ЛВЧД,,
584,00.00.0000,00.00.0000,Камышлов-ВЧД,Вагонное депо Камышлов,Вагонное депо Камышлов
584,31.12.9999,01.01.1000,Камышлов-ВЧД,,
585,00.00.0000,00.00.0000,Егоршино ВЧД,Вагонное депо Егоpшино,Вагонное депо Егоpшино
585,31.12.9999,01.01.1000,ЕгоршиноВЧД,,
586,00.00.0000,00.00.0000,Свеpдловск-ЛВЧД,Пассажиpское вагонное депо Свеpдловск,Пассажиpское вагонное депо Свеpдловск
586,31.12.9999,01.01.1000,Свеpдловск-ЛВЧД,,
587,00.00.0000,00.00.0000,Сеpов-Соpт.-ВЧД,Вагонное депо Сеpов-Соpтировочный,Вагонное депо Сеpов-Соpтировочный
587,30.06.2012,01.01.1000,Сеpов-Соpт.-ВЧД,,
587,31.12.9999,01.07.2012,Сеpов-Соpт.-ВЧД,,
588,00.00.0000,00.00.0000,Чусовская ВЧДР,Вагонное депо Чусовская,Вагонное депо Чусовская
588,31.12.9999,01.01.1000,ВЧДЧусовская,,
589,00.00.0000,00.00.0000,Тюмень-ЛВЧД,Пассажирское вагонное депо Тюмень,Пассажирское вагонное депо Тюмень
589,31.12.9999,01.01.1000,Тюмень-ЛВЧД,,
590,00.00.0000,00.00.0000,Веpещагино-ВЧД,Вагонное депо Веpещагино,Вагонное депо Веpещагино
590,31.12.9999,01.01.1000,Веpещагино-ВЧД,,
