/BIC/ZVCH_STMP,DATETO,DATEFROM,TXTSH,TXTMD,TXTLG
213,31.12.9999,01.01.1000,Вяземская-ТЧ,,
216,00.00.0000,00.00.0000,* Кустарёвский РМЗ,* Кустарёвский РМЗ,* Кустарёвский ремонтно-механический завод
216,31.12.9999,01.01.1000,*КустарёвскийРМЗ,,
217,00.00.0000,00.00.0000,Новочеркасский ЭСЗ,Новочеркасский ЭСЗ,Новочеркасский электровозоремонтный завод
217,31.12.9999,01.01.1000,НовочеркасскийЭСЗ,,
218,00.00.0000,00.00.0000,Челябинский ЭЛРЗ,Челябинский ЭЛРЗ,Челябинский электровозоремонтный завод
218,31.12.9999,01.01.1000,ЧелябинскийЭЛРЗ,,
219,00.00.0000,00.00.0000,Тбилисский ЭСЗ,Тбилисский ЭСЗ,Тбилисский электровозостроительный завод
219,31.12.9999,01.01.1000,ТбилисскийЭСЗ,,
220,00.00.0000,00.00.0000,"АО ""АВРЗ""","АО ""Акмолинский ВРЗ""","Акционерное общество ""Акмолинский вагоноремонтный завод"""
220,31.12.9999,01.01.1000,"АО""АВРЗ""",,
221,00.00.0000,00.00.0000,Шепетовка-ТЧ,Шепетовка-ТЧ,Локомотивное депо Шепетовка
221,31.12.9999,01.01.1000,Шепетовка-ТЧ,,
222,00.00.0000,00.00.0000,Джульфа ВЧДЭ,Джульфа ВЧДЭ,Вагонное (эксплуатационное) депо Джульфа
222,31.12.9999,01.01.1000,ДжульфаВЧДЭ,,
223,00.00.0000,00.00.0000,Суховская-Южн ВЧД,ВЧД Суховская-Южная,Вагонное депо ст.Суховская-Южная
223,30.06.2012,01.01.1000,Суховская-ЮжнВЧД,,
223,31.12.9999,01.07.2012,Суховская-ЮжнВЧД,,
225,00.00.0000,00.00.0000,Ожерелье-ТЧ,Ожерелье-ТЧ,Локомотивное депо Ожерелье
225,31.12.9999,01.01.1000,Ожерелье-ТЧ,,
226,31.12.9999,01.01.1000,,,
227,00.00.0000,00.00.0000,Ашгабат-ТЧ,Локомотивное депо Ашгабат,Локомотивное депо Ашгабат
227,31.12.9999,01.01.1000,Ашгабат-ТЧ,,
228,31.12.9999,01.01.1000,,,
231,00.00.0000,00.00.0000,Вихоревка-ВЧД,Вагонное депо Вихоревка,Вагонное депо Вихоревка
231,31.12.9999,01.01.1000,Вихоревка-ВЧД,,
232,00.00.0000,00.00.0000,Ужур-ТЧ,Локомотивное депо Ужур,Локомотивное депо Ужур
232,31.12.9999,01.01.1000,Ужур-ТЧ,,
236,00.00.0000,00.00.0000,Вологда-ТЧ,Локомотивное депо Вологда,Локомотивное депо Вологда
236,31.12.9999,01.01.1000,Вологда-ТЧ,,
242,00.00.0000,00.00.0000,Тернополь-ТЧ,Локомотивное депо Тернополь,Локомотивное депо Тернополь
242,31.12.9999,01.01.1000,Тернополь-ТЧ,,
243,00.00.0000,00.00.0000,Шевченко-ТЧ,Шевченко-ТЧ,Локомотивное депо Шевченко
243,31.12.9999,01.01.1000,Шевченко-ТЧ,,
246,00.00.0000,00.00.0000,Иваново-ТЧ,Иваново-ТЧ,Локомотивное депо Иваново
246,31.12.9999,01.01.1000,Иваново-ТЧ,,
247,00.00.0000,00.00.0000,Рязань-ТЧ,Рязань-ТЧ,Локомотивное депо Рязань
247,31.12.9999,01.01.1000,Рязань-ТЧ,,
250,00.00.0000,00.00.0000,Основа-ТЧ,Основа-ТЧ,Локомотивное депо Основа
250,31.12.9999,01.01.1000,Основа-ТЧ,,
253,00.00.0000,00.00.0000,Россошь-ТЧ,Россошь-ТЧ,Локомотивное депо Россошь
253,31.12.9999,01.01.1000,Россошь-ТЧ,,
254,00.00.0000,00.00.0000,Ртищево-ТЧ,Ртищево-ТЧ,Локомотивное депо Ртищево
254,31.12.9999,01.01.1000,Ртищево-ТЧ,,
255,00.00.0000,00.00.0000,Новохопёрский РМЗ,Новохопёрский РМЗ,Новохопёрский ремонтно-механический завод
255,31.12.9999,01.01.1000,НовохопёрскийРМЗ,,
257,00.00.0000,00.00.0000,Сарепта-ТЧ,Сарепта-ТЧ,Локомотивное депо Сарепта
257,31.12.9999,01.01.1000,Сарепта-ТЧ,,
263,00.00.0000,00.00.0000,Ижорский завод,Ижорский завод,Ижорский завод
263,31.12.9999,01.01.1000,Ижорскийзавод,,
264,00.00.0000,00.00.0000,* Кременчугский мост,* Кременчугский мостовой завод,* Кременчугский мостовой завод
264,31.12.9999,01.01.1000,*Кременчугскиймост,,
265,31.12.9999,01.01.1000,,,
269,00.00.0000,00.00.0000,Минеральные воды-ТЧ,Минеральные воды-ТЧ,Локомотивное депо Минеральные воды
269,31.12.9999,01.01.1000,Минеральныеводы-ТЧ,,
270,31.12.9999,01.01.1000,,,
272,00.00.0000,00.00.0000,"Завод ""Красный путь""","Завод ""Красный путь""","Московский механанический завод ""Красный путь"""
272,31.12.9999,01.01.1000,"Завод""Красныйпуть""",,
274,00.00.0000,00.00.0000,Новосибирский СЗ,Новосибирский СЗ,Новосибирский стрелочный завод
274,31.12.9999,01.01.1000,НовосибирскийСЗ,,
275,00.00.0000,00.00.0000,Петуховский-ЛМЗ,Петуховский-ЛМЗ,Петуховский литейно-механический завод
275,31.12.9999,01.01.1000,Петуховский-ЛМЗ,,
276,00.00.0000,00.00.0000,Муромский СЗ,Муромский СЗ,Муромский стрелочный завод
276,31.12.9999,01.01.1000,МуромскийСЗ,,
277,00.00.0000,00.00.0000,Беловский СПЗ,Беловский СПЗ,Беловский сталепрокатный завод
277,31.12.9999,01.01.1000,БеловскийСПЗ,,
278,00.00.0000,00.00.0000,Днепропетровский СЗ,Днепропетровский СЗ,Днепропетровский стрелочный завод
278,31.12.9999,01.01.1000,ДнепропетровскийСЗ,,
281,00.00.0000,00.00.0000,Коршуновский-ЛМЗ,Коршуновский-ЛМЗ,Коршуновский литейно-механический завод
281,31.12.9999,01.01.1000,Коршуновский-ЛМЗ,,
282,31.12.9999,01.01.1000,,,
283,00.00.0000,00.00.0000,Ишимский МЗ,Ишимский МЗ,Ишимский механический завод
283,31.12.9999,01.01.1000,ИшимскийМЗ,,
287,00.00.0000,00.00.0000,Оренбург-2 мех.масте,Оренбург-2 мех.мастерские,Механические мастерские Оренбург-2
287,31.12.9999,01.01.1000,Оренбург-2мех.масте,,
289,31.12.9999,01.01.1000,,,
290,31.12.9999,01.01.1000,,,
292,00.00.0000,00.00.0000,Санкт-Петербург-Моск,Моторвагонное депо Санкт-Петербург-Моско,Моторвагонное депо Санкт-Петербург-Московский
292,31.12.9999,01.01.1000,Санкт-Петербург-Моск,,
293,00.00.0000,00.00.0000,Аткарск-ТЧ,Локомотивное депо Аткарск,Локомотивное депо Аткарск
293,31.12.9999,01.01.1000,Аткарск-ТЧ,,
294,00.00.0000,00.00.0000,Алматинский ЭМЗ,Алматинский электромеханический завод,Алматинский электромеханический завод
294,31.12.9999,01.01.1000,АлматинскийЭМЗ,,
297,00.00.0000,00.00.0000,Ташкент-ТЧ,Локомотивное депо Ташкент,Локомотивное депо Ташкент
297,31.12.9999,01.01.1000,Ташкент-ТЧ,,
300,00.00.0000,00.00.0000,Конотоп-ТЧ,Локомотивное депо Конотоп,Локомотивное депо Конотоп
300,31.12.9999,01.01.1000,Конотоп-ТЧ,,
301,00.00.0000,00.00.0000,Кочетовка-ВЧД,Вагонное депо Кочетовка,Вагонное депо Кочетовка
301,30.06.2012,01.01.1000,Кочетовка-ВЧД,,
301,31.12.9999,01.07.2012,Кочетовка-ВЧД,,
303,00.00.0000,00.00.0000,Рузаевка-ВЧД,Вагонное депо Рузаевка,Вагонное депо Рузаевка
303,30.09.2011,01.01.1000,Рузаевка-ВЧД,,
303,31.12.9999,01.10.2011,Рузаевка-ВЧД,,
305,00.00.0000,00.00.0000,Мичуринск-ВЧД,Вагонное депо Мичуринск,Вагонное депо Мичуринск
305,31.12.9999,01.01.1000,Мичуринск-ВЧД,,
307,00.00.0000,00.00.0000,Рыбное-ВЧД,Вагонное депо Рыбное,Вагонное депо Рыбное
307,31.12.9999,01.01.1000,Рыбное-ВЧД,,
308,00.00.0000,00.00.0000,Сасово-ВЧД,Вагонное депо Сасово,Вагонное депо Сасово
308,31.12.9999,01.01.1000,Сасово-ВЧД,,
309,00.00.0000,00.00.0000,Воскресенск-ВЧД,Вагонное депо Воскресенск,Вагонное депо Воскресенск
309,31.12.9999,01.01.1000,Воскресенск-ВЧД,,
310,00.00.0000,00.00.0000,Ряжск-ВЧД,Вагонное депо Ряжск,Вагонное депо Ряжск
310,30.06.2012,01.01.1000,Ряжск-ВЧД,,
310,31.12.9999,01.07.2012,Ряжск-ВЧД,,
311,00.00.0000,00.00.0000,"ООО ""ВРЦ"" Моршанск","ООО ""ВРЦ"" Моршанск","ООО ""Вагонно - Ремонтный Центр"" в г.Моршанск"
311,31.12.9999,01.01.1000,ВРЦМоршанск,,
312,00.00.0000,00.00.0000,Перово-ВЧДэ,Экспл. вагонное депо Перово,Эксплуатационное вагонное депо Перово
312,31.12.9999,01.01.1000,Перово-ВЧДэ,,
314,00.00.0000,00.00.0000,Николаевка-ЛВЧД,Николаевка-ЛВЧД,Пассажирское вагонное депо Николаевка
314,31.12.9999,01.01.1000,Николаевка-ЛВЧД,,
315,00.00.0000,00.00.0000,С-Петербург-Тов-Моск,Санкт-Петербург-Тов-Московский ЛВЧД,Пассажирское вагонное депо Санкт-Петербург-Товарный-Московск
315,31.12.9999,01.01.1000,ЛВЧД Спб-Московский,ЛВЧД Спб-Московский,"ЛВЧД Спб-Московский АО ""ФПК"""
316,00.00.0000,00.00.0000,Ховрино-ВЧД,Вагонное депо Ховрино,Вагонное депо Ховрино
316,31.12.9999,01.01.1000,Ховрино-ВЧД,,
317,00.00.0000,00.00.0000,Тверь-ВЧД,Вагонное депо Тверь,Вагонное депо Тверь
317,31.12.9999,01.01.1000,Тверь-ВЧД,,
318,00.00.0000,00.00.0000,Москва-Октябрь. ЛВЧД,Москва-Октябрьская ЛВЧД,Пассажирское вагонное депо Москва-Октябрьская
318,31.12.9999,01.01.1000,Москва-Октябрь.ЛВЧД,,
